fold,test_start,test_end,sharpe_net,n_trades
0,2019-12-06,2020-05-29,3.214874052453994,50.0
1,2020-06-01,2020-11-23,2.9129506535671155,46.0
2,2020-11-24,2021-05-18,3.3085366029047343,56.0
3,2021-05-19,2021-11-10,3.1497067346513368,48.0
4,2021-11-11,2022-05-05,3.0954769488216227,48.0
5,2022-05-06,2022-10-28,3.1054251419793855,48.0
6,2022-10-31,2023-04-24,3.1503864522342866,50.0
7,2023-04-25,2023-10-17,3.3453007910040906,56.0
8,2023-10-18,2024-04-10,3.4067273158098494,57.0
9,2024-04-11,2024-10-03,3.601295546964835,62.0
